City,CPI,Latitude,Longitude
 Sydney ,118.6,-33.865,151.2094
  Melbourne ,118.7,-37.8136,144.9631
Brisbane ,118.4,-27.4678,-27.4678
Adelaide ,117.2,-27.4678,138.6011
 Perth ,115.6,-31.9522,115.8589
 Hobart ,118.6,-42.8806,147.325
Darwin ,114,-12.4381,130.8411
Canberra ,117.2,-35.2931,149.1269
