City,Units,Houses,Salary
Sydney,550.0,650.0,"1,764.30"
Melbourne,425.0,470.0,"1,750.70"
Brisbane,460.0,550.0,"1,646.70"
Adelaide,400.0,490.0,"1,569.90"
Perth,420.0,500.0,"1,879.70"
Hobart,450.0,540.0,"1,520.70"
Canberra,550.0,680.0,"1,908.60"
Darwin,500.0,613.0,"1,695.20"
